employee_id_hris,employee_id_ats,full_name,email,job_title,location,join_date,performance_rating,skills,training_completed,last_promotion_date
EMP-1001,candidate_658,Dalima Usamah,dalima.usamah@medikanusantara.com,Senior Sales,Jakarta,2019-01-04,4.0,,Yes,2020-03-31
EMP-1002,candidate_818,Kayla Usada,kayla.usada@medikanusantara.com,Sales II,Jakarta,2018-06-25,3.0,,Yes,2022-03-20
EMP-1003,candidate_881,"Elvina Pradana, S.H.",elvina.pradana.s.h.@medikanusantara.com,Account Manager,Yogyakarta,2022-07-24,2.0,Relationship Management;Negotiation,No,
EMP-1004,candidate_847,Hardi Farida,hardi.farida@medikanusantara.com,Sr Sales,Jakarta,2021-02-18,2.0,,No,2023-03-03
EMP-1005,candidate_146,Tina Mangunsong,tina.mangunsong@medikanusantara.com,Sales II,Makassar,2017-02-08,,,No,2026-05-10
EMP-1006,candidate_479,Cut Tari Sitompul,cut.tari.sitompul@medikanusantara.com,Sales Executive,Jakarta,2023-05-02,2.0,,No,2023-07-03
EMP-1007,candidate_804,"Farhunnisa Puspasari, S.H.",farhunnisa.puspasari.s.h.@medikanusantara.com,Sales 2,Jakarta,2016-09-12,,CRM;Communication,No,
EMP-1008,candidate_680,"Drs. Nugraha Gunawan, S.Farm",drs..nugraha.gunawan.s.farm@medikanusantara.com,Senior Sales,Bandung,2023-11-13,3.0,Leadership;CRM,No,
EMP-1009,,Irsad Ardianto,irsad.ardianto@medikanusantara.com,Sales Executive,Bandung,2020-12-18,5.0,,No,
EMP-1010,,Yuni Permadi,yuni.permadi@medikanusantara.com,Sr Sales,Yogyakarta,2017-08-21,,,Yes,2024-07-13
EMP-1011,candidate_641,Gantar Wulandari,gantar.wulandari@medikanusantara.com,Sales 2,Jakarta,2023-10-03,3.0,Communication;CRM,No,2023-12-10
EMP-1012,candidate_564,Kurnia Hidayanto,kurnia.hidayanto@medikanusantara.com,Senior Sales,Yogyakarta,2019-07-25,2.0,CRM;Leadership,No,
EMP-1013,candidate_897,Dt. Wahyu Hutagalung,dt..wahyu.hutagalung@medikanusantara.com,Sales 2,Bandung,2021-09-07,,Communication;CRM,Yes,2024-10-20
EMP-1014,candidate_414,Wirda Winarsih,wirda.winarsih@medikanusantara.com,AM,Jakarta,2024-10-13,5.0,,No,2024-12-01
EMP-1015,candidate_269,Bahuwirya Zulaika,bahuwirya.zulaika@medikanusantara.com,Sales II,Yogyakarta,2020-07-20,2.0,CRM;Communication,Yes,2025-05-24
EMP-1016,candidate_482,"Dr. Yuliana Hastuti, M.Ak",dr..yuliana.hastuti.m.ak@medikanusantara.com,Sr Sales,Yogyakarta,2019-03-23,3.0,CRM;Negotiation,No,2025-05-10
EMP-1017,candidate_335,Dt. Bajragin Thamrin,dt..bajragin.thamrin@medikanusantara.com,Sales Senior,Yogyakarta,2019-11-23,2.0,,Yes,2022-08-10
EMP-1018,candidate_652,Salwa Hartati,salwa.hartati@medikanusantara.com,Sales Executive,Jakarta,2017-04-26,2.0,Presentation;Communication,Yes,
EMP-1019,candidate_533,Hasna Maryati,hasna.maryati@medikanusantara.com,Sales Senior,Yogyakarta,2020-01-07,3.0,Leadership;Negotiation,Yes,
EMP-1020,candidate_243,"R. Pardi Narpati, S.Kom",r..pardi.narpati.s.kom@medikanusantara.com,Sales II,Jakarta,2022-10-13,2.0,Communication;CRM,Yes,
EMP-1021,candidate_956,"Safina Pranowo, M.TI.",safina.pranowo.m.ti.@medikanusantara.com,Sales Senior,Bandung,2017-05-08,3.0,Negotiation;Leadership,Yes,
EMP-1022,candidate_102,Drs. Luthfi Pangestu,drs..luthfi.pangestu@medikanusantara.com,Sales Executive,Jakarta,2019-06-12,3.0,Presentation;Communication,No,2022-11-28
EMP-1023,candidate_159,"Damar Mustofa, S.Sos",damar.mustofa.s.sos@medikanusantara.com,Sales Senior,Bandung,2019-03-28,4.0,CRM;Leadership,Yes,
EMP-1024,candidate_261,"Ir. Ellis Nashiruddin, M.M.",ir..ellis.nashiruddin.m.m.@medikanusantara.com,Senior Sales,Yogyakarta,2024-09-16,4.0,,No,2024-11-01
EMP-1025,candidate_683,Dina Firmansyah,dina.firmansyah@medikanusantara.com,Sales II,Surabaya,2023-02-22,,,Yes,2023-04-29
EMP-1026,candidate_371,"R. Melinda Haryanto, S.I.Kom",r..melinda.haryanto.s.i.kom@medikanusantara.com,Sales II,Yogyakarta,2024-03-19,5.0,Communication;CRM,Yes,2025-03-17
EMP-1027,candidate_202,KH. Luis Nurdiyanti,kh..luis.nurdiyanti@medikanusantara.com,Sales Senior,Bandung,2021-04-06,4.0,Negotiation;CRM,No,2026-02-03
EMP-1028,candidate_656,"Latika Wulandari, M.M.",latika.wulandari.m.m.@medikanusantara.com,Account Manager,Surabaya,2021-07-14,3.0,Relationship Management;Negotiation,No,
EMP-1029,,Tgk. Nyoman Suryatmi,tgk..nyoman.suryatmi@medikanusantara.com,Senior Sales,Yogyakarta,2017-09-16,,,Yes,2019-03-10
EMP-1030,candidate_749,R. Agnes Haryanti,r..agnes.haryanti@medikanusantara.com,Sales 2,Yogyakarta,2022-02-19,4.0,,Yes,2026-02-09
EMP-1031,,R. Parman Dongoran,r..parman.dongoran@medikanusantara.com,Senior Sales,Bandung,2017-09-21,2.0,Leadership;Negotiation,Yes,2025-04-26
EMP-1032,candidate_252,Harjasa Purnawati,harjasa.purnawati@medikanusantara.com,Sales Senior,Surabaya,2019-06-01,,CRM;Negotiation,Yes,
EMP-1033,candidate_981,Mila Narpati,mila.narpati@medikanusantara.com,Sales 2,Bandung,2021-09-04,5.0,,No,2024-09-02
EMP-1034,candidate_930,"Kenari Kuswandari, S.Farm",kenari.kuswandari.s.farm@medikanusantara.com,Sales II,Surabaya,2020-10-28,4.0,Communication;CRM,Yes,2022-03-19
EMP-1035,candidate_210,Jagapati Sihombing,jagapati.sihombing@medikanusantara.com,Senior Sales,Makassar,2019-07-02,3.0,Leadership;CRM,Yes,
EMP-1036,candidate_992,drg. Daruna Narpati,drg..daruna.narpati@medikanusantara.com,Sales Senior,Jakarta,2023-01-29,3.0,,No,2024-09-03
EMP-1037,candidate_756,R. Dalima Wijayanti,r..dalima.wijayanti@medikanusantara.com,Sr Sales,Surabaya,2021-06-11,4.0,,Yes,2023-04-24
EMP-1038,candidate_371,"Irma Budiyanto, S.Pt",irma.budiyanto.s.pt@medikanusantara.com,AM,Yogyakarta,2023-05-11,2.0,,No,
